playlist_name,curator_name,curator_id,playlist_url,follower_count,track_count
House Masterpiece ,vagelistranquility33,31c6zmeljlokkznh4cgns5hprejm,https://open.spotify.com/playlist/4Qi28EQ7d3zBGh2X9VKKLw,6770,95
- gg,yst.gamm,21lmo37g55xfk3cu4yclewvyi,https://open.spotify.com/playlist/2ZYTUyQTZShIMEEjpH8Oti,0,338
7458,444,3163n6zq6io4hwzfklia23t63j4y,https://open.spotify.com/playlist/1VC1yS2lkTxXpHCf1nAwE2,2225,54
Player music,joe_pescix,31axgybabrhrxpvrlte6logozjyy,https://open.spotify.com/playlist/3XAdY6SideYP11jBaT9HCI,14391,97
/(://,Æįłñçżæßj,31j4mgfegkh4wop6hpa7a5vsjgcm,https://open.spotify.com/playlist/2K4pLxluzoYNYy9Ka6I9jH,0,346
Good Vibes Only,Luxury Music Group,31tt7w4wzjko7uqgpf3j3wpfzovq,https://open.spotify.com/playlist/6rUOv7dQdxrRdjKHX45U9K,10966,15
Guitar Thunderstorm,MelodiaX,31vxolidznzuc6qmgxjz6ookhkfu,https://open.spotify.com/playlist/2yAEfPxFiqD3qqja0VFlgT,4711,97
💔,Lia,htjer8tr3j8ufse0jh4y9279r,https://open.spotify.com/playlist/1fb9Yt62rgQYuTIsJZLesj,4,271
HIP-HOP RAP rNB R&B 2024,NOW29,31akkrx4u7oiovfrnpydluuxzbpi,https://open.spotify.com/playlist/0Zn3zPGUWpfFucSuVWT8ME,24657,27
Eternal Grace of GOD,Orange  Hits,31g6lwb6w24flknv4f4quelciov4,https://open.spotify.com/playlist/6OQl6k29ChwrH2UWLPfumr,1839,208
